SEO PARA WORDPRESS,JUANJO RAMOS, - cdlxi00337304  
PREVENCIÓN Y GESTIÓN DE RIESGOS,ACCID, - 9788417942267  
INNOVACIN Y BARBARIE,ALEJANDRO PISCITELLI, - 9788491807315  
LOS SIETE PODERES,ALEX ROVIRA, - 9788417622763  
LA EMPRESA INVENCIBLE,ALEXANDER OSTERWALDER, - 9788418259043  
"RESUMEN DEL LIBRO ""GENERACIÓN DE MODELOS DE NEGOCIO"" DE ALEXANDER OSTERWALDER",ALEXANDER OSTERWALDER, - 9788418959028  
CÓMO INNOVAR. MODELOS Y HERRAMIENTAS,ALFONS CORNELLA, - 9788418464690  
EJERCICIOS DE ECONOMÍA Y GESTIÓN EMPRESARIAL PARA ARQUITECTOS,ALICIA LLORCA PONCE, - 9788483638859  
LOS PRÓXIMOS 30 AÑOS...,ALVARO GONZALEZ ALORDA, - 9788492414338  
FUNDAMENTOS PARA LA GESTIÓN ESTRATÉGICA DE LOS RECURSOS HUMANOS,ALVARO LOPEZ CABRALES, - 9788491802525  
DIRECCIÓN DE EMPRESAS,ANA MARIA CASTILLO CLAVERO, - 9788436840070  
INNOVACIÓN ABIERTA Y ALTA COCINA,ANDONI LUIS ADURIZ, - 9788436829280  
THE GOOD PSYCHOPATH'S GUIDE TO SUCCESS,ANDY MCNAB, - 9781473508965  
WORK/LIFE: ACHIEVE YOUR GOALS,ANDY SMITH, - 9781405324922  
DIRIGE!,ANGEL BAGUER ALCALA, - 9788499690995  
EL IMPERIO PORCELANOSA,ANGEL C. ALVAREZ RODRIGUEZ, - 9788490604045  
CÓMO TRABAJAR EN EQUIPO A TRAVÉS DE COMPETENCIAS,ANGEL JOSE OLAZ CAPITAN, - 9788427722262  
LA GESTIÓN ABIERTA DE LA EMPRESA Y DE LOS ORGANISMOS PÚBLICOS,ANTONIO FERNANDEZ RAÑADA, - 9788499696652  
LECCIONES EN ESTRATEGIA,ARNOLDO C. HAX, - 9789561416895  
LA CRISIS DEL EMPLEO. HACIA LAS ACTIVIDADES NO PRODUCTIVAS,ARTURO DAMIAN SANCHIS SERRA, - 9788498869934  
DICCIONARIO DE TURISMO,ASUNCION BLANCO ROMERO, - 9788437642048  
EL PEQUEÑO LIBRO DE LA VALORACIÓN DE EMPRESAS,ASWATH DAMODARAN, - 9788423432592  
LA TRAMPA DE LAS REDES SOCIALES,B.J. MENDELSON, - 9788499445199  
CREATIVIDAD INTELIGENTE,BEATRIZ VALDERRAMA, - 9788436844610  
JOBCRAFTING. CONVIERTE EL TRABAJO QUE TIENES EN EL TRABAJO QUE QUIERES,BELEN VARELA, - 9788417545321  
RETAIL COACHING (4A. EDICIÓN),BENOIT MAHE, - 9788417942991  
AYÚDALOS A CRECER O MÍRALOS IRSE,BEVERLY KAYE, - 9788499447049  
FINISH BIG,BO BURLINGHAM, - 9780670923281  
LA ESCALADA DEL LÍDER,BOB PARSANKO, - 9788499446110  
THE LITTLE PRINCE PUTS ON HIS TIE,BORJA VILASECA, - 9781310918094  
O ESSENCIAL  DA TEORIA U,C. OTTO SCHARMER, - 9786599074714  
MINIMALISMO DIGITAL,CAL NEWPORT, - 9788449337246  
PIENSE COMO UN MILLONARIO,CAMILO CRUZ, - 9781607380955  
CAMBIA EL GUIÓN,CARLOS ALONSO, - 9788499698731  
EL ANTÍDOTO,CARLOS REBATE, - 9788417780524  
LOS CIEN ERRORES DEL EMPRENDIMIENTO,CARMEN DE PABLOS HEREDERO, - 9788416462407  
CONTROL DE CALIDAD A TRAVÉS DE SEIS SIGMA APLICACIONES CON EXCEL,CESAR PEREZ LOPEZ, - cdlap00011536  
COACHING DE EQUIPOS,CESAR PIQUERAS, - 9788415505761  
GESTIÓN TRANSNACIONAL,CHRISTOPHER A. BARTLETT, - 9788499449647  
MUJER Y ALTA DIRECCIÓN EN EL SECTOR TURÍSTICO,CRISTINA FIGUEROA DOMECQ, - 9788490776193  
DIRECCIÓN ESTRATÉGICA DE ORGANIZACIONES TURÍSTICAS,CRISTOBAL CASANUEVA ROCHA, - 9788436840766  
DESCÚBRETE COMO LÍDER,DALE CARNEGIE, - 9788412299717  
"QUIÉN, NO CÓMO",DAN SULLIVAN, - 9788418480195  
MANUAL DE RECURSOS HUMANOS,DANIEL PATRICIO JIMENEZ, - 9788415986324  
DIAGNÓSTICO ORGANIZACIONAL,DARIO RODRIGUEZ M., - 9789587781946  
DIAGNÓSTICO ORGANIZACIONAL,DARIO RODRIGUEZ M., - 9789561416154  
REINVENTANDO LA ORGANIZACIÓN,DAVE ULRICH, - 9788417880316  
ORGANÍZATE CON EFICACIA,DAVID ALLEN, - 9788417180577  
SISTEMAS DE EVALUACIÓN DEL DESEMPEÑO PARA ORGANIZACIONES PÚBLICAS,DAVID ARELLANO GAULT, - 9786077843368  
AMPLITUD (RANGE),DAVID EPSTEIN, - 9788417780692  
INTELIGENCIA ESPIRITUAL EN LA PRÁCTICA,DAVID FISCHMAN, - 9786123190996  
GUÍA ESTRATÉGICA PARA LA TRANSFORMACIÓN DIGITAL,DAVID L. ROGERS, - 9788418259968  
CONVERSACIONES,DAVID M. RUBENSTEIN, - 9788429196382  
PREGUNTAR CON HUMILDAD,EDGAR H. SCHEIN, - 9788499447636  
LA DIANA EMPRENDE TU IDEA E IDEA TU EMPRESA,EDUARDO GUILLEN RUIZ, - 9788409041589  
FUNCIÓN DIRECTIVA Y RECURSOS HUMANOS EN SANIDAD,EDUARDO PEREZ GOROSTEGUI, - 9788499690421  
GUÍA DEL BUEN GOBIERNO CORPORATIVO,ELISA TURULLOLS, - 9788418205132  
FUNDAMENTOS PARA LA TOMA DE DECISIONES ESTRATÉGICAS DE LA EMPRESA,ESTEBAN FERNANDEZ SANCHEZ, - 9788436843811  
ADMINISTRACIÓN DE LA PRODUCCIÓN,ESTEBAN FERNANDEZ SANCHEZ, - 9788436843545  
¿QUIEN HA MATADO A MI JEFE?,ESTEBAN SOLANO RADA, - 9788415986195  
ANÁLISIS Y DESCRIPCIÓN DE PUESTOS DE TRABAJO,FEDERICO GAN, - 9788499694825  
CARRERA PROFESINAL,FEDERICO GAN, - 9788499696492  
"CÓMO ""HACERSE EL SUECO"" EN LOS NEGOCIOS CON ÉXITO",FEDERICO J. GONZALEZ TEJERA, - 9788418236068  
VIVIR Y TRABAJAR EN EL EXTRANJERO,FEDERICO J. GONZALEZ TEJERA, - 9788418236044  
ORGANIZACIONES Y RECURSOS HUMANOS,FERNANDO BAYON MARINE, - 9788499585376  
"27 CONVERSACIONES CON EMPRENDEDORES ESPAÑOLES. TÚ PODRÍAS SER UNA DE ESTAS HISTORIAS, PIÉNSALO",FERNANDO GINER DE LA FUENTE, - 9788416462322  
RESPONSABILIDAD SOCIAL CORPORATIVA,FERNANDO NAVARRO GARCIA, - 9788415986362  
AUTENTICIDAD,FRAN CHUAN, - 9788417209292  
MANAGEMENT PARA DESPUÉS DE LA CRISIS,FRANCISCO CORMA CANOS, - 9788490521038  
