HITLER Y EL NUEVO ORDEN MUNDIAL,ABEL BASTI, - 9789504975380  
EL FANTASMA DEL REY LEOPOLDO,ADAM HOCHSCHILD, - 9788499429465  
LA QUINTA COLUMNA,ALBERTO LAGUNA REYES, - 9788491645894  
LAS ÚLTIMAS HORAS DEL COSTA CONCORDIA,ALEJANDRO MINGUEZ, - 9788416893478  
CARA O CRUZ: HERNÁN CORTÉS,ALEJANDRO ROSAS, - 9786073173612  
UN DÍA EN LA VIDA DE IVÁN DENÍSOVICH,ALEKSANDR SOLZHENITSYN, - 9788490661888  
MUJICA. UNA BIOGRAFÍA INSPIRADORA,ALLAN PERCY, - 9788490691373  
NAUFRAGIOS,ALVAR NUÑEZ CABEZA DE VACA, - 9788499533544  
ANÉCDOTAS DE LA NOBLEZA ESPAÑOLA,AMADEO MARTIN REY Y CABIESES, - 9788413844121  
LA VOZ SOLA,ANA MARIA MARTINEZ SAGI, - 9788417264116  
LA REINA,ANA POLO ALONSO, - 9788413844602  
"COLEGA, ¿DÓNDE ESTÁ MI URBE? LA ATLÁNTIDA Y OTRAS CIUDADES PERDIDAS EN LA HISTORIA Y EL TIEMPO",ANDONI GARRIDO, - 9788413840659  
MADRID,ANDRES TRAPIELLO, - 9788423358342  
LA REINA,ANDREW MORTON, - 9788467067804  
¿QUIÉN QUISO LA GUERRA CIVIL?,ANGEL VIÑAS, - 9788491990994  
ANÁLISIS DE LOS PAISAJES HISTÓRICOS,ANTONIO MALPICA CUELLO, - 9788415249603  
"APELLIDO FERNÁNDEZ / ORIGEN, HISTORIA Y HERÁLDICA DE LOS LINAJES Y APELLIDOS ESPAÑOLES E HISPANOAMERICANOS",ANTONIO TAPIA, - cdlhf00014626  
"APELLIDO DELGADO / ORIGEN, HISTORIA Y HERÁLDICA DE LOS LINAJES Y APELLIDOS ESPAÑOLES E HISPANOAMERICANOS",ANTONIO TAPIA,
"APELLIDO MUÑOZ / ORIGEN, HISTORIA Y HERÁLDICA DE LOS LINAJES Y APELLIDOS ESPAÑOLES E HISPANOAMERICANOS",ANTONIO TAPIA, - cdlhf00017724  
LA GUERRA CIVIL ESPAÑOLA,ANTONY BEEVOR, - 9788498928532  
BERLÍN,ANTONY BEEVOR, - 9788498928303  
LAS CARTAS DE ELENA FRANCIS,ARMAND BALSEBRE, - 9788437639093  
PRETORIANOS,ARTURO SANCHEZ SANZ, - 9788491641810  
EL SILENCI DELS TELERS,ASSUMPTA MONTELLA I CARLOS, - 9788415224792  
UNA TIERRA PROMETIDA,BARACK OBAMA, - 9788499929750  
A PROMISED LAND,BARACK OBAMA, - 9780241991411  
EL CRIMEN DE LA CALLE FUENCARRAL,BENITO PEREZ GALDOS, - 9788416225910  
LA PRESA DE SHARPE. LA BATALLA DE COPENHAGUE 1807,BERNARD CORNWELL, - 9788435048798  
ESTAMBUL,BETTANY HUGHES, - 9788417067960  
MADRID DE LEYENDA,BLANCO CORREDOIRA, - 9788418757129  
FRANCESC CAMBÓ,BORJA DE RIQUER, - 9788429780758  
LA CATEDRAL DE TOLEDO,CARLOS DUEÑAS REY, - 9788411314398  
SIMPOSIOS Y BANQUETES GRIEGOS,CARLOS GARCIA GUAL, - 9788417951276  
LOS CAMPOS DE CONCENTRACIÓN DE FRANCO,CARLOS HERNANDEZ DE MIGUEL, - 9788466665452  
EL NORTE.LA EPOPEYA OLVIDADA DE LA NORTEAMÉRICA HISPANA,CARRIE GIBSON, - 9788441441484  
ANALES,CAYO CORNELIO TACITO, - 9788446035336  
1491,CHARLES C. MANN, - 9788412553802  
REINAS MALDITAS,CRISTINA MORATO, - 9788401347115  
DIVINA LOLA,CRISTINA MORATO, - 9788401019258  
GUERRA Y CUCHILLO. LOS SITIOS DE ZARAGOZA. 1808-1809,DANIEL AQUILLUE, - 9788413840925  
TOLEDO. BIOGRAFÍA DE LA CIUDAD SAGRADA,DANIEL GOMEZ ARAGONES, - 9788413843094  
LA GRAN HISTORIA DE TODO,DAVID CHRISTIAN, - 9788491990888  
365 DÍAS PARA SER MÁS CULTO,DAVID S. KIDDER, - 9788427043695  
MIS MENTIRAS FAVORITAS,DIEGO GARROTE VALERO, - 9788483260586  
LA LIEBRE CON OJOS DE ÁMBAR,EDMUND DE WAAL, - 9788415277965  
EL HIJO DE EULALIA,EDUARDO ALVAREZ, - 9788413842134  
EL MUNDO NO ES COMO CREES,EL ORDEN MUNDIAL, - 9788434432918  
"BARCELONA, UNA BIOGRAFÍA",ENRIC CALPENA, - 9788423350100  
TRES PIEDRAS HACEN UNA PARED,ERIC H. CLINE, - 9788417067564  
BREVE HISTORIA DEL MUNDO. EDICIÓN ILUSTRADA,ERNST H. GOMBRICH, - 9788411000246  
FRANCISCO PIZARRO,ESTEBAN MIRA CABALLOS, - 9788417067908  
GEOGRAFÍA. LIBROS I-II,ESTRABON, - 9788424931964  
UNA MIRADA A LA DIVERSIDAD,EVA ORTEGA, - 9788411371056  
"MALINTZIN, O LA CONQUISTA COMO TRADUCCIÓN",FEDERICO NAVARRETE, - 9786073047791  
ENTENDER Y AMAR EL ARTE EGIPCIO,FERNANDO ESTRADA LAZA, - 9788498924763  
BREVE HISTORIA DE ESPAÑA,FERNANDO GARCIA DE CORTAZAR, - 9788413628271  
LOS MITOS DE ESPAÑA,FERNANDO GARCIA DE CORTAZAR, - 9788417241711  
