"FÁBULAS EN PROSA, LECTURA FABULOSA",ADELA BASCH, - 9789504932062  
TENGO MIEDO,ALBERTO SOLER, - 9788418054730  
THE THREE MUSKETEERS,ALEXANDRE DUMAS, - 9780241397398  
CUENTOS PARA CRIAR CON AMOR Y RESPETO,ARMANDO BASTIDA, - 9788418050084  
EL RITMO DEL MUNDO,AYESHA L. RUBIO, - 9788408245490  
CONTES PER A UNA NOVA REALITAT,BEGOÑA IBARROLA, - 9788418135804  
CUENTOS PARA UNA NUEVA REALIDAD,BEGOÑA IBARROLA, - 9788408233657  
MUNDO SIN DIOSES 2. LA RAZÓN Y LA IRA,BENITO TAIBO, - 9786070763403  
MINICUENTOS DE ABEJAS Y CEBRAS PARA IR A DORMIR,BLANCA BK, - 9788448845285  
EL MUSEO DE LOS CHIRIMBOLOS,CARMEN RAMOS, - 9788418017841  
"DE CERCA, DE LEJOS",CECILIA BEUCHAT, - 9789561414655  
PULGARCITO,CHARLES PERRAULT, - 9788467757378  
CAPERUCITA ROJA,CHARLES PERRAULT, - 9788467757361  
LOS CABALLEROS DEL REY ARTURO,CHRETIEN DE TROYES, - 9788467728866  
"THE WAY OF THE SWORD (YOUNG SAMURAI, BOOK 2)",CHRIS BRADFORD, - 9780141931487  
LOS CALCETINES DE EMILY STONES,DAVID LAFUENTE, - 9788408243083  
HOLD ME CLOSER,DAVID LEVITHAN, - 9780723299332  
LA INCREÏBLE HISTÒRIA DE... LA COSA MÉS ESTRANYA DEL MÓN,DAVID WALLIAMS, - 9788417922122  
SOUL. EL LLIBRE DE LA PEL.IÍCULA,DISNEY, - 9788418443121  
SOUL. EL LIBRO DE LA PELÍCULA,DISNEY, - 9788418335044  
EXCELENTÍSIMA CAPERUCITA,EL HEMATOCRITICO, - 9788469874332  
¡MENUDO CABRITILLO!,EL HEMATOCRITICO, - 9788469886762  
LOS ATREVIDOS EN EL PAÍS DE LOS UNICORNIOS (EL TALLER DE EMOCIONES 5),ELSA PUNSET, - 9788448847241  
LOS ATREVIDOS ¡FIESTA EN EL MERCADO! (EL TALLER DE EMOCIONES 6),ELSA PUNSET, - 9788448847258  
LOS ATREVIDOS EN EL PAÍS DE LOS UNICORNIOS (EL TALLER DE EMOCIONES 5),ELSA PUNSET, - 9788448847241  
LOS ATREVIDOS ¡FIESTA EN EL MERCADO! (EL TALLER DE EMOCIONES 6),ELSA PUNSET, - 9788448847258  
LOS ATREVIDOS EN BUSCA DEL TESORO (EL TALLER DE EMOCIONES 2),ELSA PUNSET, - 9788448845537  
UN TEST DE MARGARIDES EBOOK,ENRIC LLUCH, - 9788421690147  
BENNY AND OMAR,EOIN COLFER, - 9780141939551  
10 CUENTOS. ADIÓS MIEDOS ADIÓS. 10 CUENTOS PARA PERDER EL MIEDO,ESTER LLORENS, - 9788434243118  
CABO DE HORNOS,FRANCISCO COLOANE, - 9789561228405  
CUENTOS DEL ABUELO II,GABRIEL RODRIGUEZ DE LAS HERAS, - 9788416563708  
PEQUEÑOS CUENTOS CON GRANDES VALORES,GEMMA LIENAS, - 9788417921699  
EL COCODRILO AL QUE NO LE GUSTABA EL AGUA,GEMMA MERINO, - 9788416648573  
LA REINA DE LAS NIEVES,HANS CHRISTIAN ANDERSEN, - 9788469825068  
MOBY DICK O LA BALLENA BLANCA,HERMAN MELVILLE, - 9789561222069  
JUGAR A PENSAR CON CUENTOS,IRENE DE PUIG, - 9788418083372  
LA BELLA GRISELDA,ISOL, - 9786071634399  
FERALS. EL QUE HABLA CON LOS CUERVOS,JACOB GREY, - 9786070726811  
EL REGRESO A LOS SAUCES,JACQUELINE KELLY, - 9788416306046  
DOCE SUSTOS Y UN PERICO,JAIME ALFONSO SANDOVAL, - 9786073172714  
DOG DIARIES: CAMPING CHAOS!,JAMES PATTERSON, - 9781473572904  
DOG DIARIES,JAMES PATTERSON, - 9781473556171  
PIRATE PANDEMONIUM,JEREMY STRONG, - 9780141965543  
THERE'S A VIKING IN MY BED AND OTHER STORIES,JEREMY STRONG, - 9780141908939  
UNA BODA DESMADRADA,JORDI SIERRA I FABRA, - 9788412075199  
"HOLA, ¿PUEDO AYUDAR?",JORDI SIERRA I FABRA, - 9788412138108  
EL RENO Y LA BONDAD,JOSE MORAN, - 9788467721621  
A LA SOMBRA DEL MAESTRO,JUAN FARIAS, - 9788416862658  
MIGUEL STROGOFF,JULIO VERNE, - 9789561228481  
VEINTE MIL LEGUAS DE VIAJE SUBMARINO,JULIO VERNE, - 9789561222120  
CINCO SEMANAS EN GLOBO,JULIO VERNE, - 9788467726251  
ME ROBARON A MI MEJOR AMIGA,LAUREL ANN DOOLEY, - 9780983155744  
EL CLUB DE LOS ABANDONADOS,LEAL GISELA, - 9786071116796  
ADÉU CAPITÀ!,LLUIS LLORT, - 9788448841980  
HISTORIAS DE PONIS,LORENA MARIN, - 9788467757323  
"MUJERCITAS (EDICIÓN ACTUALIZADA, ILUSTRADA Y ADAPTADA)",LOUISA MAY ALCOTT, - 9788427220805  
"CUENTOS DE OTOÑO DE LUCÍA, MI PEDIATRA",LUCIA GALAN BERTRAND, - 9788408247654  
"CONTES D'ESTIU DE LUCÍA, MI PEDIATRA",LUCIA GALAN BERTRAND, - 9788413893105  
"CUENTOS DE LUCÍA, MI PEDIATRA 2",LUCIA GALAN BERTRAND, - 9788408234999  
"CONTES D'HIVERN DE LUCÍA, MI PEDIATRA",LUCIA GALAN BERTRAND, - 9788413894423  
"CUENTOS DE VERANO DE LUCÍA, MI PEDIATRA",LUCIA GALAN BERTRAND, - 9788408259985  
BASURA Y MÁS BASURA,LUCIA SERRANO, - 9788469875667  
¿CÓMO ES TU ENERGÍA?,LUCIA SERRANO, - 9788469875643  
EL RATONCITO PÉREZ Y EL DIENTE PERDIDO,MAGELA RONDA, - 9788448862060  
EL LÁPIZ MÁGICO DE MALALA,MALALA YOUSAFZAI, - 9788491049548  
CUENTOS PARA SOÑAR UN MUNDO MEJOR,MANUELA CARMENA, - 9788417921729  
LA ENORME NADA,MARIA BARANDA, - 9786071636799  
LA FADA MARYLINA,MARIA CRISTINA SALAS, - 9788415613398  
CUENTOS MONTESSORI PARA POTENCIAR LA AUTOESTIMA,MARTA PRADA, - 9788417605827  
CUENTOS MONTESSORI PARA LAS BUENAS NOCHES,MARTA PRADA, - 9788417605155  
CUENTOS MONTESSORI PARA CRECER FELICES,MARTA PRADA, - 9788416588824  
VAMOOSE! (POCKET MONEY PUFFIN),MEG ROSOFF, - 9780141944043  
PENSAMENTS,MERCE GALI, - 9788417749804  
LUNÁTICA,MERCE LOPEZ, - 9786071634290  
FELIZ,MIES VAN HOUT, - 9786071637468  
TINC UN VOLCÀ,MIRIAM TIRADO, - 9788418522116  
EL FANTASMA DE CANTERVILLE,OSCAR WILDE, - 9788483088531  
CONTES PER SALVAR EL PLANETA,PAOLO FERRI, - 9788418134920  
EL HOMBRE QUE VIAJÓ A LA LUNA,PATRICIA SUAREZ, - 9789877671377  
"COLOMBIA, MI ABUELO Y YO",PILAR LOZANO, - 9789583062483  
EL PIRATA BIEN EDUCADO Y SUS AMIGOS,RAFAEL DEZCALLAR, - 9788416280773  
EL EXTRAÑO CASO DEL DR. JEKYLL Y MR. HYDE,ROBERT LOUIS STEVENSON, - 9788420492063  
LOS ATREVIDOS DAN EL GRAN SALTO (EL TALLER DE EMOCIONES 1),ROCIO BONILLA, - 9788448845520  
CAPITANES INTRÉPIDOS,RUDYARD KIPLING, - 9788420492254  
THE FOUNTAINS OF SILENCE,RUTA SEPETYS, - 9780241421864  
APRENDRE A LLEGIR A L'ESCOLA DE MONSTRES 8 - EMOCIONS DE COLORS,SALLY RIPPIN, - 9788419085634  
GLADIATOR: VENGEANCE,SIMON SCARROW, - 9780141970301  
L'OVELLETA QUE VA VENIR A SOPAR (L'OVELLETA QUE VA VENIR A SOPAR),STEVE SMALLMAN, - 9788448840754  
THE CAY,THEODORE TAYLOR, - 9780141355948  
BRAIN FREEZE: WORLD BOOK DAY 2018,TOM FLETCHER, - 9780241334225  
BRAIN FREEZE: WORLD BOOK DAY 2018,TOM FLETCHER, - 9780241334225  
LUCIANA LA PEJESAPO,VERONICA MURGUIA, - 9786071637598  
