LA CIUDAD AUTOMÁTICA,ALAITZ LECEAGA, - 9788418086090  
LAS MARAVILLAS,ALBERT ESPINOSA, - 9788433941886  
LA TIENDA DE LA FELICIDAD,ALBERT ESPINOSA, - 9788420454894  
LO QUE ENCONTRÉ BAJO EL SOFÁ,ALBERT ESPINOSA, - 9788466668675  
EL CRIMEN DE ASUNTA,ALBERT PLA, - 9788490602393  
LAS PRIMAS,ALBERT SANCHEZ PIÑOL, - 9789876706391  
LOS COMPASES DEL TIEMPO,ALBERT SANCHEZ PIÑOL, - 9788418945373  
LA SONRISA ETRUSCA,ALBERTO MANSO, - 9788466336406  
LO CONTARÁN LAS OLAS,ALEJANDRO PALOMAS, - 9788419361363  
DECIR ADIÓS NO ES OLVIDARTE,ALFONSO RAMIREZ DE ARELLANO, - 9788466673273  
LA VIDA SECRETA DE SYLVIA NOLAN,ALICIA GIMENEZ BARTLETT, - 9788423362585  
EN EL OTOÑO DE SUS VIDAS,ALICIA W. DE CAMILLONI, - 9788419485090  
FELIZ DÍA DE AÑO NUEVO,ALMUDENA GRANDES, - 9788411554251  
UN ELEFANTE BAJO EL PARASOL BLANCO,ALMUDENA GRANDES, - 9788401029622  
DÍAS GRISES CON CIELO AZUL,ALMUDENA GRANDES, - 9788401025969  
NUBOSIDAD VARIABLE,ALMUDENA GRANDES, - 9788433938022  
CATEDRALES,ALMUDENA GRANDES, - 9789877387155  
GUILLEM,ALMUDENA GRANDES, - 9788416743988  
TODO ARDE,AMARA CASTRO CID, - 9788420438733  
LA CIUDAD DE VAPOR,AMPARO SANCHEZ, - 9788408236795  
LA SEÑORA MARCH,ANA BERNAL TRIVIÑO, - 9788426409669  
LOS PACIENTES DEL DOCTOR GARCÍA,ANA IRIS SIMON, - 9788490664490  
VENGO DE ESE MIEDO,ANA LENA RIVERA, - 9788411071642  
SIETE AGUJAS DE COSER,ANGEL VAZQUEZ, - 9788466672283  
SIRA,ANGELA BECERRA, - 9788408242659  
ANTES DEL SALTO,ANGELES GIL, - 9788419089298  
LA NOCHE QUE NOS ESCUCHAMOS,ANIBAL MALVAR, - 9788425361081  
"DISPARA, YO YA ESTOY MUERTO",ANTHONY HOPE, - 9788401342271  
EL PELIGRO DE ESTAR CUERDA,ANTONIO MUÑOZ MOLINA, - 9788432240782  
TOMÁS NEVINSON,ANTONIO SOLER, - 9788420456232  
MATERIAL SENSIBLE (CUENTOS CRUELES),ANXOS SUMAI, - 9788412258943  
LOS BESOS EN EL PAN,ARITZ URRESTI OLASAGASTE, - 9788490661956  
UN OCÉANO PARA LLEGAR A TI,AROA MORENO DURAN, - 9788408237754  
AQUITANIA,ARTURO BAREA, - 9788408237747  
CORAZÓN TAN BLANCO (EDICIÓN ESPECIAL 25º ANIVERSARIO),ARTURO PEREZ REVERTE, - 9788420498393  
EL CASTILLO DE BARBAZUL,ARTURO PEREZ REVERTE, - 9788411071031  
LA CIUDAD,ARTURO PEREZ REVERTE, - 9788426407764  
SI YO ME PIERDO,ARTURO PEREZ REVERTE, - 9788423362370  
EL AÑO DEL DILUVIO,ARTURO PEREZ REVERTE, - 9788432291371  
LOS INGRATOS,ARTURO PEREZ REVERTE, - 9788467062649  
TRANSBORDO EN MOSCÚ,ARTURO PEREZ REVERTE, - 9788432238666  
EL LABERINTO DE LOS ESPÍRITUS,ARTURO PEREZ REVERTE, - 9788408164203  
TEMPORADA DE HURACANES,ARTURO PEREZ REVERTE, - 9786073152679  
LA SOMBRA DEL VIENTO,ARTURO PEREZ REVERTE, - 9788408095590  
LA SONATA DEL SILENCIO,AURORA VENTURINI, - 9788408129059  
MÚSICA PARA FEOS,AURORA VENTURINI, - 9788423349470  
OBRA MAESTRA,AYANTA BARILLI, - 9788433944078  
QUERIDOS NIÑOS,BEBI FERNANDEZ, - 9788433943163  
LO DEMÁS ES AIRE,BELEN GOPEGUI, - 9788432240812  
EL ÚLTIMO VERANO ANTES DE TODO,BELEN GOPEGUI, - 9788408264422  
"ADIÓS, PEQUEÑO",BELEN GOPEGUI, - 9788408261605  
PALMERAS EN LA NIEVE,BENITO PEREZ GALDOS, - 9788499981031  
NADA,BENITO PEREZ GALDOS, - 9788423319442  
INÉS Y LA ALEGRÍA,BENITO PEREZ GALDOS, - 9788483836224  
INFIERNO EN EL PARAÍSO,BENITO PEREZ GALDOS, - 9788408243328  
DE NINGUNA PARTE,BERNARDO ATXAGA, - 9788401024931  
LLÉVAME A CASA,BERNARDO ATXAGA, - 9788432237829  
LA BUENA SUERTE,BERNARDO ATXAGA, - 9788420439464  
ANIMALES HERIDOS,BLUE JEANS, - 9788408265269  
VOLDRIA QUE FOSSIS TU,CAMILO JOSE CELA, - 9788415745143  
EL LATIDO DE LA TIERRA,CARE SANTOS, - 9788408215905  
MAÑANA EN LA BATALLA PIENSA EN MÍ,CARLA MONTERO, - 9788420490731  
ANTONIA,CARLES CAPDEVILA, - 9788490602324  
LUCÍA EN LA NOCHE,CARLOS CASARES MOURIÑO, - 9788467055252  
MALAHERBA,CARLOS DEL AMOR, - 9788420438375  
LAS TRES HERIDAS,CARLOS RUIZ ZAFON, - 9788408003441  
LAS HEREDERAS DE LA SINGER,CARLOS RUIZ ZAFON, - 9788425361159  
REGRESO A TU PIEL,CARLOS RUIZ ZAFON, - 9788408127215  
BERTA ISLA,CARLOS RUIZ ZAFON, - 9788420431918  
LAS FORMAS DEL QUERER,CARLOS RUIZ ZAFON, - 9788423361380  
LOS FAVORES,CARLOS RUIZ ZAFON, - 9788418052972  
MISS MERKEL. EL CASO DEL JARDINERO ENTERRADO,CARME MARTI, - 9788432241338  
MIENTRAS ESTAMOS MUERTOS,CARMEN LAFORET, - 9788483936863  
ESTÁS MUY CALLADA HOY,CARMEN MARTIN GAITE, - 9788432241352  
EL RÍO DE CENIZAS,CARMEN MARTIN GAITE, - 9788411071482  
LA MADRINA DE GUERRA,CARMEN POSADAS, - 9788466672078  
NADIE POR DELANTE,CARMEN POSADAS, - 9788423361731  
LO QUE HAY,CAROLINA POBLA, - 9788418052279  
LOS AIRES DIFÍCILES,CLARA SANCHEZ, - 9788483836453  
LLUNY DE LOUISIANA,CLAUDIA PIÑEIRO, - 9788466430043  
MUJERES QUE COMPRAN FLORES,CLAUDIA PIÑEIRO, - 9788401018114  
EL MAESTRO JUAN MARTÍNEZ QUE ESTABA ALLÍ,CLAUDIA PIÑEIRO, - 9788492663699  
EL CORAZÓN HELADO,CLAUDIA VELASCO, - 9788483836231  
DELPARAÍSO,CRISTINA LOPEZ BARRIO, - 9788467061697  
EL REGALO,CRISTINA LOPEZ BARRIO, - 9788490691946  
A CORAZÓN ABIERTO,CRISTINA MORALES, - 9788432236600  
EL BAILE DE LAS MARIONETAS,CRUZ MORCILLO, - 9788466350624  
FERIA,CRUZ MORCILLO, - 9788412226737  
UN AMOR,DANIEL BLANCO PARRA, - 9788433941718  
LÍNEA DE FUEGO,DAVID JIMENEZ, - 9788420455778  
"""1969""",DAVID MONTEAGUDO, - 9788419311368  
"LA CELESTINA: LECTURA FÁCIL, CASTELLANO ACTUAL",DAVID OLIVAS, - cdlap00006614  
PATRIA,DAVID SAFIER, - 9788490663271  
TRES CHUPITOS EN MIKONOS (TRILOGÍA UN CÓCTEL EN CHUECA 3),DAVID TRUEBA, - 9788466672672  
DESDE LA SOMBRA,DIEGO VAYA, - 9788432229145  
UN SEGUNDO ANTES DE LA FURIA,DULCE CHACON, - 9788408247685  
HISTORIA DE UN CANALLA,DULCE CHACON, - 9788401017391  
EL PINTOR DE BATALLAS,EDUARD MARQUEZ, - 9788420498676  
PAPEL Y TINTA,EDUARDO MENDOZA, - 9788491293538  
LA COCINERA DE CASTAMAR,EDUARDO MENDOZA, - 9788408206347  
,EDUARDO MENDOZA,
EL JUEGO DEL ÁNGEL,EDUARDO MENDOZA, - 9788408095477  
LECTURA FÁCIL,EDURNE PORTELA, - 9788433939937  
LA VIDA A RATOS,ELIA BARCELO, - 9788420434827  
TODAS LAS ALMAS,ELIA BARCELO, - 9788420490717  
LAS GUERRAS DE NUESTROS ANTEPASADOS,ELISA LEVI, - 9788423345458  
ORDESA,ELLA MAISE, - 9788420431833  
LAS TRES BODAS DE MANOLITA,ELMER MENDOZA, - 9788483838365  
EL FRANCOTIRADOR PACIENTE,ELOY MORENO, - 9788420407012  
DESDE EL OTRO LADO,ELOY MORENO, - 9788420461311  
UN TAL CANGREJO,ELOY MORENO, - 9788418342998  
LOS SECRETOS DE LA BIBLIOTECA DE LA QUINTA AVENIDA,ELOY MORENO, - 9788467067385  
LA VIDA ME PROVOCA,ELOY MORENO, - 9788466672627  
DE BESTIAS Y AVES,ELVIRA LINDO, - 9788419075802  
CÓMETE EL MUNDO Y DIME A QUÉ SABE,ELVIRA LINDO, - 9788418976353  
LA NIÑA DE RUSIA,ELVIRA NAVARRO, - 9788466672603  
LA PARTIDA FINAL,EMILIA PARDO BAZAN, - 9788408264446  
ÉRASE UN SUEÑO,ENRIQUE VILA MATAS, - 9788419139931  
RECUÉRDAME POR QUÉ TE QUIERO,ESPIDO FREIRE, - 9788491292265  
MONTEVIDEO,EVA GARCIA SAENZ DE URTURI, - 9788432241178  
LA BAJAMAR,FELIPE BENITEZ REYES, - 9788439739944  
EL VALLE DE LOS ARCÁNGELES,FERNANDO ARAMBURU, - 9788467064919  
ABSOLUCIÓN,FERNANDO J. MUÑEZ, - 9788483836323  
LA VIDA IBA EN SERIO,FERNANDO NAVARRO, - 9788408036111  
JUEGOS DE LA EDAD TARDÍA,FIONA FERRER LEONI, - 9788483836330  
LA CAJA DE LOS SUEÑOS ROTOS,FLAVIA COMPANY, - 9788411559515  
EL CORAZÓN DEL TÁRTARO,GEORGE ORWELL, - 9788420412627  
LA HIJA DEL CANÍBAL,GEORGINA HIGUERAS, - 9788420412610  
VENTO FERIDO,GONZALO GINER, - 9788498659078  
LOS JUBILADOS LOS CARGA EL DIABLO,GUILLERMO AGUIRRE, - 9788413987934  
EL LUNES NOS QUERRÁN,GUILLERMO FESSER, - 9788423359073  
ÚLTIMO VERANO DE JUVENTUD,HARUKI MURAKAMI, - 9788408146322  
NOMEOLVIDES,HARUKI MURAKAMI, - 9788408147299  
CUENTOS PARA ENTENDER EL MUNDO,HOLMEDO, - 9788413141503  
EL MENSAJE DE PANDORA,IGNACIO MARTINEZ DE PISON, - 9788408232261  
VINO Y PÓLVORA,IGNACIO MARTINEZ DE PISON, - 9788409202102  
CATEDRALES,IGNACIO PAJON LEYRA, - 9789877387155  
GUILLEM,IGNACIO RAMON MARTIN VEGA, - 9788416743988  
TODO ARDE,IGNACIO RAMON MARTIN VEGA, - 9788420438733  
LA CIUDAD DE VAPOR,INES MARTIN RODRIGO, - 9788408236795  
LA CIUDAD AUTOMÁTICA,INMA CHACON, - 9788418086090  
LAS MARAVILLAS,INMA CHACON, - 9788433941886  
LA TIENDA DE LA FELICIDAD,ISAAC ROSA, - 9788420454894  
LO QUE ENCONTRÉ BAJO EL SOFÁ,ISABEL SAN SEBASTIAN, - 9788466668675  
EL CRIMEN DE ASUNTA,ISABEL SAN SEBASTIAN, - 9788490602393  
LAS PRIMAS,JACOBO BERGARECHE MENDOZA, - 9789876706391  
LOS COMPASES DEL TIEMPO,JAUME CABRE, - 9788418945373  
LA SONRISA ETRUSCA,JAVIER ALANDES, - 9788466336406  
LO CONTARÁN LAS OLAS,JAVIER ARIAS ARTACHO, - 9788419361363  
DECIR ADIÓS NO ES OLVIDARTE,JAVIER CERCAS, - 9788466673273  
LA VIDA SECRETA DE SYLVIA NOLAN,JAVIER GOMEZ SANTANDER, - 9788423362585  
EN EL OTOÑO DE SUS VIDAS,JAVIER MARIAS, - 9788419485090  
FELIZ DÍA DE AÑO NUEVO,JAVIER MARIAS, - 9788411554251  
UN ELEFANTE BAJO EL PARASOL BLANCO,JAVIER MARIAS, - 9788401029622  
DÍAS GRISES CON CIELO AZUL,JAVIER MARIAS, - 9788401025969  
NUBOSIDAD VARIABLE,JAVIER MARIAS, - 9788433938022  
LA TABLA DE FLANDES,JAVIER MARIAS, - 9788420498928  
EL DISPUTADO VOTO DEL SEÑOR CAYO,JAVIER MARIAS, - 9788423328147  
LA RIDÍCULA IDEA DE NO VOLVER A VERTE,JAVIER MARIAS, - 9788432215803  
SEÑORA DE ROJO SOBRE FONDO GRIS,JAVIER MARIAS, - 9788423328505  
EL CLUB DUMAS,JAVIER MARIAS, - 9788420499260  
LA MUJER DEL DIPLOMÁTICO,JAVIER MORO, - 9788401343544  
EL PRISIONERO DE ZENDA,JAVIER REVERTE, - 9781524314446  
LA EDAD DE LA IRA (NUEVA PRESENTACIÓN),JAVIER SIERRA, - 9788467036763  
EL CAMINO,JAVIER SIERRA, - 9788423354689  
OPERA MAGNA,JERONIMO TRISTANTE, - 9788415828914  
LAS VIUDAS DE LOS JUEVES,JERRY TONER, - 9789870433552  
EL BALCÓN EN INVIERNO,JESSICA GOMEZ, - 9788483839423  
